katastral_gemeinde,kg_nr,abk_karte,bezirk,bezirks_gericht,flache_in_ha_im_bezirk,auch_bezirk_e_mit_flache_in_ha
Innere Stadt,1004,–,"1. Innere Stadt 01., Innere Stadt",Innere Stadt Wien,"285,71",–
Leopoldstadt,1657,–,"2. Leopoldstadt 02., Leopoldstadt",Leopoldstadt,"1.791,92",–
Landstraße,1006,–,"3. Landstraße 03., Landstraße",Innere Stadt Wien,"717,25","11. (1,00)"
Wieden,1011,–,"4. Wieden 04., Wieden",Innere Stadt Wien,"180,22",–
Margarethen,1008,–,"5. Margareten 05., Margareten",Innere Stadt Wien,"200,68","6. (1,00)"
Mariahilf,1009,–,"6. Mariahilf 06., Mariahilf",Innere Stadt Wien,"143,81",–
Neubau,1010,–,"7. Neubau 07., Neubau",Josefstadt,"160,54","1. (1,00)"
Josefstadt,1005,–,"8. Josefstadt 08., Josefstadt",Josefstadt,"108,94",–
Alsergrund,1002,–,"9. Alsergrund 09., Alsergrund",Josefstadt,"295,88","1. (1,00)"
Favoriten,1101,F,"10. Favoriten 10., Favoriten",Favoriten,"524,14","3. (2,00)"
Inzersdorf-Stadt,1102,I,"10. Favoriten 10., Favoriten",Favoriten,"786,03","12. (13,58), 23. (5,00)"
Oberlaa Land,1104,OL,"10. Favoriten 10., Favoriten",Favoriten,"450,37",–
Oberlaa Stadt,1105,OS,"10. Favoriten 10., Favoriten",Favoriten,"748,28",–
Rothneusiedl,1106,R,"10. Favoriten 10., Favoriten",Favoriten,"189,91",–
Unterlaa,1108,U,"10. Favoriten 10., Favoriten",Favoriten,"338,11",–
Albern,1109,A,"11. Simmering 11., Simmering",Innere Stadt Wien,"258,61",–
Kaiserebersdorf,1103,K,"11. Simmering 11., Simmering",Innere Stadt Wien,"1.026,11","10. (23,00)"
Simmering,1107,S,"11. Simmering 11., Simmering",Innere Stadt Wien,"1.039,12","3. (22,50), 10. (116,94)"
Altmannsdorf,1301,A,"12. Meidling 12., Meidling",Meidling,"230,65",–
Gaudenzdorf,1303,G,"12. Meidling 12., Meidling",Meidling,"27,54",–
Hetzendorf,1304,H,"12. Meidling 12., Meidling",Meidling,"230,93",–
Meidling,1305,M,"12. Meidling 12., Meidling",Meidling,"318,61",–
Auhof,1201,A,"13. Hietzing 13., Hietzing",Hietzing,"2.532,61","14. (22,00)"
Hacking,1203,Ha,"13. Hietzing 13., Hietzing",Hietzing,"43,04","14. (8,00)"
Hietzing,1205,Hi,"13. Hietzing 13., Hietzing",Hietzing,"122,99",–
Lainz,1207,L,"13. Hietzing 13., Hietzing",Hietzing,"171,56",–
Ober St. Veit,1209,O,"13. Hietzing 13., Hietzing",Hietzing,"394,06",–
Rosenberg,1211,R,"13. Hietzing 13., Hietzing",Hietzing,"40,63",–
Schönbrunn,1212,Sb,"13. Hietzing 13., Hietzing",Hietzing,"200,55",–
Speising,1213,Sp,"13. Hietzing 13., Hietzing",Hietzing,"180,36",–
Unter St. Veit,1215,U,"13. Hietzing 13., Hietzing",Hietzing,"60,88",–
Breitensee,1202,B,"14. Penzing 14., Penzing",Fünfhaus,"172,82","16. (1,00)"
Hadersdorf,1204,Ha,"14. Penzing 14., Penzing",Fünfhaus,"2.106,37",–
Hütteldorf,1206,Hü,"14. Penzing 14., Penzing",Fünfhaus,"615,47","13. (20,00)"
Oberbaumgarten,1208,O,"14. Penzing 14., Penzing",Fünfhaus,"89,85",–
Penzing,1210,P,"14. Penzing 14., Penzing",Fünfhaus,"192,71",–
Unterbaumgarten,1214,U,"14. Penzing 14., Penzing",Fünfhaus,"99,21","13. (3,00)"
Weidlingau,1216,W,"14. Penzing 14., Penzing",Fünfhaus,"93,47",–
Fünfhaus,1302,F,"15. Rudolfsheim-Fünfhaus 15., Rudolfsheim-Fünfhaus",Fünfhaus,"164,83",–
Rudolfsheim,1306,R,"15. Rudolfsheim-Fünfhaus 15., Rudolfsheim-Fünfhaus",Fünfhaus,"167,44",–
Sechshaus,1307,S,"15. Rudolfsheim-Fünfhaus 15., Rudolfsheim-Fünfhaus",Fünfhaus,"36,24",–
Neulerchenfeld,1403,N,"16. Ottakring 16., Ottakring",Hernals,"60,15",–
Ottakring,1405,O,"16. Ottakring 16., Ottakring",Hernals,"805,93",–
Dornbach,1401,D,"17. Hernals 17., Hernals",Hernals,"558,13",–
Hernals,1402,H,"17. Hernals 17., Hernals",Hernals,"195,34",–
Neuwaldegg,1404,N,"17. Hernals 17., Hernals",Hernals,"385,91",–
Gersthof,1501,G,"18. Währing 18., Währing",Döbling,"87,85",–
Pötzleinsdorf,1510,P,"18. Währing 18., Währing",Döbling,"222,12","19. (34,00)"
Währing,1514,Wä,"18. Währing 18., Währing",Döbling,"242,64","19. (11,00)"
Weinhaus,1515,W,"18. Währing 18., Währing",Döbling,"17,34",–
Grinzing,1502,G,"19. Döbling 19., Döbling",Döbling,"613,52",–
Heiligenstadt,1503,H,"19. Döbling 19., Döbling",Döbling,"219,46",–
Josefsdorf,1504,J,"19. Döbling 19., Döbling",Döbling,"64,99",–
Kahlenbergerdorf,1505,K,"19. Döbling 19., Döbling",Döbling,"226,01",–
Neustift am Walde,1506,N,"19. Döbling 19., Döbling",Döbling,"151,85","18. (58,00)"
Nußdorf,1507,Nu,"19. Döbling 19., Döbling",Döbling,"226,84",–
Oberdöbling,1508,Od,"19. Döbling 19., Döbling",Döbling,"241,20",–
Obersievering,1509,Os,"19. Döbling 19., Döbling",Döbling,"234,79",–
Salmannsdorf,1511,S,"19. Döbling 19., Döbling",Döbling,"66,05",–
Unterdöbling,1512,Ud,"19. Döbling 19., Döbling",Döbling,"72,38",–
Untersievering,1513,Us,"19. Döbling 19., Döbling",Döbling,"198,25",–
Brigittenau,1620,–,"20. Brigittenau 20., Brigittenau",Leopoldstadt,"494,84",–
Donaufeld,1603,D,"21. Floridsdorf 21., Floridsdorf",Floridsdorf,"434,49",–
Floridsdorf,1605,F,"21. Floridsdorf 21., Floridsdorf",Floridsdorf,"233,32","20. (42,83)"
Großjedlersdorf I,1606,G I,"21. Floridsdorf 21., Floridsdorf",Floridsdorf,"373,55",–
Großjedlersdorf II,1607,G II,"21. Floridsdorf 21., Floridsdorf",Floridsdorf,"222,29",–
Jedlesee,1609,J,"21. Floridsdorf 21., Floridsdorf",Floridsdorf,"144,97",–
Leopoldau,1613,L,"21. Floridsdorf 21., Floridsdorf",Floridsdorf,"1.047,46",–
Schwarze Lackenau,1614,SL,"21. Floridsdorf 21., Floridsdorf",Floridsdorf,"402,65","19. (85,97), 20. (30,00)"
Stammersdorf,1616,Sta,"21. Floridsdorf 21., Floridsdorf",Floridsdorf,"1.098,42",–
Strebersdorf,1617,Str,"21. Floridsdorf 21., Floridsdorf",Floridsdorf,"463,12",–
Aspern,1651,A,"22. Donaustadt 22., Donaustadt",Donaustadt,"1.988,87","2. (24,00)"
Breitenlee,1652,B,"22. Donaustadt 22., Donaustadt",Donaustadt,"1.007,47",–
Eßling,1654,E,"22. Donaustadt 22., Donaustadt",Donaustadt,"1.497,78",–
Hirschstetten,1658,H,"22. Donaustadt 22., Donaustadt",Donaustadt,"551,89",–
Kagran,1660,Ka,"22. Donaustadt 22., Donaustadt",Donaustadt,"1.101,70","21. (5,17)"
Kaiserebersdorf Herrschaft,1661,KH,"22. Donaustadt 22., Donaustadt",Donaustadt,"2.332,12","2. (80,00)"
Kaisermühlen,1669,Km,"22. Donaustadt 22., Donaustadt",Donaustadt,"537,95","21. (20,45)"
Landjägermeisteramt,1662,L,"22. Donaustadt 22., Donaustadt",Donaustadt,"204,51","2. (31,00)"
Stadlau,1665,St,"22. Donaustadt 22., Donaustadt",Donaustadt,"499,44",–
Süßenbrunn,1668,Sü,"22. Donaustadt 22., Donaustadt",Donaustadt,"501,27",–
Atzgersdorf,1801,A,"23. Liesing 23., Liesing",Liesing,"376,42",–
Erlaa,1802,E,"23. Liesing 23., Liesing",Liesing,"238,96",–
Inzersdorf,1803,I,"23. Liesing 23., Liesing",Liesing,"854,06",–
Kalksburg,1804,K,"23. Liesing 23., Liesing",Liesing,"375,70",–
Liesing,1805,L,"23. Liesing 23., Liesing",Liesing,"273,82",–
Mauer,1806,M,"23. Liesing 23., Liesing",Liesing,"639,57",–
Rodaun,1807,R,"23. Liesing 23., Liesing",Liesing,"214,45",–
Siebenhirten,1808,S,"23. Liesing 23., Liesing",Liesing,"251,22",–
